All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,34.616880657095,No,Yes,0,0
47,47,40.335000131253,No,Yes,0,0
47,47,50.5043973559793,No,Yes,0,0
47,47,60.2395787578155,No,Yes,0,0
47,47,47.3461628353267,No,Yes,0,0
47,47,32.6637653868202,No,Yes,0,0
48.9,48.9,75.0200750477771,Yes,Yes,0,0
48.9,48.9,79.5131544466764,Yes,Yes,0,0
45,45,24.9412655131609,No,Yes,0,0
47,47,33.8636905688183,No,Yes,0,0
45,45,20.9279938994553,No,Yes,0,0
47,47,67.6817914299455,No,Yes,0,0
1,47.9,72.653306877392,No,Yes,47.9,48.9
1,48.4,84.1374961813055,Yes,Yes,48.4,48.9
2,48.9,96.4945517875027,Yes,Yes,48.2,48.9
2,48.9,109.939176471461,Yes,Yes,48.2,48.9
2,48.9,87.8365215928539,Yes,Yes,48.2,48.9
1,48.2,102.445103196732,Yes,Yes,48.2,48.9
2,48.9,75.93360086143,Yes,Yes,48.1,48.9
2,48.9,63.6600784286158,Yes,Yes,48.1,48.9
1,48.1,55.4374753511182,No,Yes,48.1,48.9
1,48.2,66.5112251270136,Yes,Yes,48.2,48.9
1,48.2,55.2075426627706,Yes,Yes,48.2,48.9
2,48.9,119.994195054444,Yes,Yes,48.2,48.9
